-20;7;-11;2;-6;1;-1;3;0
-8;-20;-27;-6;-7;6;5;-3;0
8;18;30;6;8;37;-45;-12;0
-4;-13;-4;-6;-5;-40;21;-9;0
-5;3;5;-4;1;-8;-22;-9;0
14;8;-5;2;-3;-10;17;-7;0
0;-5;-7;-3;0;6;-21;17;0
1;1;4;1;-1;13;6;-2;0
8;1;0;-2;-2;0;-5;1;0
10;5;11;0;5;-1;-4;-1;0
11;-3;-8;-1;-1;-6;20;-27;0
-3;-2;7;0;1;10;-22;-6;0
6;-6;-7;0;-1;-9;0;2;0
-3;5;12;1;1;7;4;3;0
-7;-11;-7;-2;-2;-4;30;-1;0
-2;15;-7;-3;0;0;29;8;0
-2;-14;3;-3;-4;5;-8;-8;0
-4;3;-5;0;4;-2;-2;4;0
-9;-8;9;0;-5;-11;-12;-6;0
-4;-12;-4;-4;-3;-1;-16;-9;0
9;15;-1;4;6;6;8;16;0
5;-15;-1;-1;0;-4;5;6;0
-28;-26;-6;-5;2;-6;-4;-5;0
43;25;0;4;-1;7;5;13;0
14;0;7;0;3;0;11;0;0
-5;5;-7;-3;-5;-4;-14;-6;0
-2;-7;16;4;5;-4;3;22;0
-14;-19;-11;-2;0;-2;-9;-8;0
-13;-8;-17;-4;10;12;5;-8;0
8;19;22;10;7;-9;-7;-5;0
-10;8;-1;-11;-5;-3;-9;-13;0
21;-26;-2;10;2;6;11;9;0
8;-26;-20;0;-5;-18;9;9;0
-22;1;17;-7;-3;21;-11;-4;0
26;3;-12;2;7;-9;0;-2;0
-6;15;4;-5;-2;-4;-5;3;0
-32;-42;-11;-4;-5;6;-6;-18;0
8;-33;-4;1;-1;-8;-3;-1;0
11;85;30;7;-10;0;3;1;0
-12;-47;-29;-9;-12;-1;-10;-8;0
6;-19;-5;-7;12;-6;-6;-2;0
-12;26;-13;-8;-13;-12;-2;-1;0
5;38;2;-6;-16;5;1;0;0
-7;6;19;13;10;-1;-1;-3;0
-10;-94;0;-1;-22;0;2;0;0
4;16;2;1;-9;0;3;6;0
-4;-5;-11;-4;-3;-1;-1;-4;0
-9;4;-25;-18;-13;4;0;-3;0
3;31;27;6;-5;-8;1;3;0
-5;-58;9;8;10;1;-3;-2;0
3;-34;-2;6;13;7;7;6;0
-8;2;15;4;7;-2;-2;-3;0
3;48;-4;7;1;4;-5;-3;0
-7;-8;-46;-28;-17;-10;-2;-2;0
1;-5;9;-2;-4;-9;-4;-6;0
0;16;7;5;7;1;-5;-1;0
3;36;13;3;4;3;1;0;0
-3;4;5;9;2;4;2;1;0
-4;-29;-27;-11;-1;0;-1;-3;0
2;6;7;1;0;1;-1;-1;0
-10;-13;-1;4;-4;-2;-4;-3;0
3;26;4;-6;12;0;-4;-1;0
-4;-30;-14;-2;4;17;8;2;0
-3;28;6;-2;-4;-1;-1;-2;0
9;32;10;-3;6;1;2;1;0
-13;-4;-1;0;1;-3;-2;1;0
1;64;2;2;2;-1;-2;-4;0
-25;-47;-5;3;0;-1;-3;-6;0
14;15;-1;-1;-2;1;2;3;0
11;25;5;0;2;1;-1;-3;0
0;-15;-5;-4;-5;-10;-8;-4;0
-6;-18;-13;-5;-2;4;4;-2;0
-13;29;-3;-2;-1;-6;-7;-7;0
24;-19;15;12;3;3;4;6;0
-15;-29;-4;6;2;-1;-2;-8;0
-9;-30;-19;-14;-4;-10;-10;4;0
20;72;38;3;9;10;11;14;0
5;-16;-6;0;-3;-4;-3;-3;0
-19;-17;-3;-6;-2;-1;0;-3;0
9;15;5;4;3;1;-4;-23;0
-15;-18;-17;-3;-6;-7;-5;-3;0
-24;14;4;-4;4;0;2;11;0
43;-19;11;18;5;-6;-3;4;0
-13;4;3;-1;-13;-3;-2;0;0
7;-46;-40;-49;-13;-5;-6;-14;0
14;-22;-6;-3;-4;-5;-2;-6;0
5;56;-3;10;4;-1;-1;-2;0
-13;13;26;21;9;5;3;2;0
-26;-5;-2;6;-2;-4;-7;-20;0
-28;-26;-9;-2;1;2;1;-5;0
21;-1;-12;-15;-7;-1;2;41;0
12;8;6;5;1;0;3;6;0
-6;3;6;8;3;3;2;5;0
-9;-8;-5;-1;1;0;-4;-13;0
-16;-17;-1;-4;-6;-4;0;-19;0
9;20;-2;-9;-2;-3;-2;16;0
-1;-25;-5;1;-2;-1;-3;0;0
12;22;7;5;-2;0;-2;-5;0
2;-9;3;0;0;0;1;-2;0
-2;-8;-5;-3;1;0;4;-2;0
-9;-13;-4;0;-2;0;-8;-5;0
9;18;-3;-4;-5;-4;-1;6;0
14;-7;-5;-8;-4;-1;0;-1;0
9;1;-3;-3;-1;-2;0;-4;0
4;3;9;11;5;2;-1;5;0
-6;-14;5;4;1;0;1;6;0
-26;-18;-13;-9;-5;-3;-6;-13;0
15;42;5;-5;0;-1;-1;-1;0
2;3;-3;-2;-4;-5;0;5;0
-14;-3;-7;-7;-3;-1;0;0;0
12;-7;4;8;3;3;2;0;0
-2;-25;3;1;0;3;-4;-5;0
-11;-2;-13;-4;1;-9;3;22;0
4;5;2;1;-2;-2;-5;-23;0
-11;-14;-3;-10;-2;-2;4;30;0
15;6;-2;-1;0;2;1;6;0
-8;-16;3;2;1;2;0;-7;0
3;19;-2;2;-1;-2;-6;-15;0
-14;7;6;3;-2;-3;-3;-5;0
0;-5;-7;-2;1;-3;-1;-1;0
-6;2;5;2;-3;0;-2;-27;0
9;-2;5;5;1;2;5;34;0
4;-1;-2;1;-1;-1;-2;2;0
-12;-14;-10;-19;-7;-5;-1;3;0
-3;2;-9;-4;1;1;0;-8;0
-8;3;13;7;-1;-3;-3;-6;0
-9;-3;3;-2;-1;6;2;-17;0
-6;-17;-15;1;1;-2;-1;-3;0
-23;9;16;2;-3;-1;-3;-8;0
4;-63;-22;7;7;4;1;3;0
22;89;56;38;16;7;7;10;0
2;-8;15;2;-7;-3;-1;0;0
1;-9;-47;-57;-13;-2;-3;-3;0
-13;-17;-26;-25;-8;-9;-7;-2;0
-12;-47;-12;0;-1;-3;-5;-12;0
2;20;7;19;8;5;3;3;0
17;7;24;25;6;-1;4;10;0
-4;-7;3;-6;-4;-5;-3;-1;0
1;3;-19;-15;-3;-2;-3;-2;0
3;11;7;0;1;0;-3;-5;0
1;-12;1;9;1;2;-2;-2;0
2;18;9;2;-1;3;2;-1;0
-7;-5;1;3;1;0;-1;-7;0
8;-2;-2;0;-2;-3;1;17;0
5;-8;-2;-9;-3;-1;-2;4;0
-7;16;-7;-4;-4;-3;1;-3;0
-2;-12;-9;-14;-6;-6;-6;-12;0
-8;-25;-5;3;0;0;-3;-8;0
13;70;19;19;4;1;3;3;0
4;5;12;-2;-2;2;0;2;0
-6;-13;-17;-13;-5;-3;-4;0;0
-3;-15;-13;-8;-1;-1;1;-2;0
3;-14;-4;6;-1;-1;0;4;0
1;12;16;13;7;2;1;2;0
2;2;7;8;0;0;0;2;0
-4;-2;-8;-9;-6;-4;-1;-3;0
3;-20;-13;-15;-7;-4;-2;-2;0
1;19;-2;-5;-1;-1;-1;-1;0
-1;-24;-3;1;0;0;-1;0;0
12;-8;15;17;4;1;0;0;0
6;18;8;6;0;0;2;4;0
-7;-21;-15;-13;-5;-6;-5;-2;0
0;61;2;-3;-1;-3;-4;-2;0
-8;-13;-7;-5;-2;-8;-1;-6;0
2;-15;-3;2;1;2;1;8;0
1;4;2;5;0;2;-1;0;0
-3;-18;-1;2;-2;-2;-4;-4;0
-2;11;-4;-3;-1;-1;-2;-2;0
2;-5;-1;1;0;0;-1;-2;0
-2;4;0;0;1;-1;-2;-2;0
-2;-15;-3;-5;-4;-1;-1;0;0
-2;12;-2;-6;-2;1;-2;-4;0
0;-8;-1;2;0;0;1;0;0
-3;-4;2;1;2;1;1;-2;0
-3;-8;-4;-1;-2;-4;-1;1;0
8;15;1;-3;-3;-5;-4;1;0
-2;-11;4;5;2;10;5;1;0
1;12;6;7;0;0;1;0;0
1;-8;-10;-8;-3;0;2;-2;0
-6;-12;-2;-6;-3;-3;-3;-1;0
5;25;-7;-3;-1;-5;-3;0;0
0;-4;3;6;0;1;-1;-3;0
-13;-8;-1;0;-2;1;4;23;0
-3;-9;-9;-3;-3;2;0;0;0
-1;-12;3;3;1;-1;-3;-1;0
2;1;-2;0;0;-1;2;0;0
4;1;5;5;1;-2;-3;-12;0
2;6;-2;-4;0;2;1;-18;0
-1;-4;-2;-2;-2;0;0;8;0
1;2;-2;-4;-1;-2;-1;-1;0
-2;-9;-2;-4;-1;-5;-3;-8;0
-3;8;4;1;0;-3;-8;-7;0
2;-2;7;7;3;9;9;-5;0
0;-7;-5;-1;-2;0;2;1;0
3;-3;-8;-8;-3;-1;0;3;0
-2;5;-3;-3;-2;-3;-3;4;0
1;-5;2;-1;-3;-7;-6;-4;0
-15;-10;0;-4;-1;-1;-2;-5;0
-12;7;8;4;0;2;0;-7;0
-3;1;-2;-2;-2;-1;-1;0;0
-6;-7;-5;-5;-3;-4;-3;-4;0
0;-3;-2;0;0;2;0;-1;0
4;1;-1;0;0;-2;-3;-2;0
-1;-1;5;2;1;3;2;6;0
-2;-4;-3;-2;0;-2;-2;-1;0
4;1;-1;-1;-1;-1;-2;4;0
0;-1;-1;0;-1;-1;-1;-3;0
-2;1;-2;-2;0;1;2;1;0
1;-2;-4;-2;-2;-2;-1;0;0
1;2;-2;-2;0;0;-2;0;0
0;-1;0;1;0;0;1;-2;0
-2;-1;0;1;0;0;2;0;0
-5;-1;-3;-3;0;-2;-1;-2;0
0;2;-1;-4;-2;-1;-2;2;0
0;-4;-2;-2;-1;-2;-1;-2;0
-1;0;-3;-1;-2;-1;0;2;0
-1;-4;1;2;-1;-2;0;0;0
-3;-1;-1;0;0;-1;-3;-4;0
-3;-2;-4;-5;-1;1;2;1;0
2;0;0;0;0;-2;0;0;0
1;-2;0;0;-1;-1;-1;0;0
-9;-3;-1;0;-1;-1;-2;-3;0
6;3;2;2;0;0;-2;-2;0
-5;-3;-4;-4;-2;-2;0;-1;0
-7;-3;-1;-4;-3;-1;-3;-3;0
5;1;-1;-1;-1;-2;0;0;0
2;2;2;4;3;2;0;0;0
-1;1;1;0;-1;0;0;0;0
-2;-1;1;-2;-1;0;-1;-2;0
4;-2;-4;-1;-3;-1;3;2;0
-2;-1;0;0;-1;-1;-1;-1;0
-3;-1;1;1;0;-1;-2;-1;0
-1;2;-1;-1;0;-1;-2;1;0
2;2;0;-2;-1;0;-2;2;0
-2;-4;-3;-1;-2;-2;-2;-2;0
-2;0;0;4;1;-1;-2;-2;0
2;-2;-2;-2;-2;-2;1;2;0
0;-1;-1;-3;0;-1;1;1;0
0;-1;-1;-2;-1;-1;0;-2;0
-2;0;-1;0;-1;-1;-1;-2;0
1;4;6;2;0;-1;-3;-21;0
0;-1;-2;-2;-2;-3;-1;4;0
0;-1;0;0;0;-2;-1;0;0
4;-1;-1;1;2;0;0;2;0
1;-2;0;-1;-3;-1;-1;-2;0
-6;-5;-5;-4;-3;-2;-3;-4;0
-1;5;3;0;2;-1;0;-2;0
0;-2;-2;-1;-1;0;1;-2;0
2;-1;-2;0;0;-1;0;7;0
-4;2;4;0;0;1;-1;-5;0
-2;-8;-8;-5;-2;0;1;2;0
-3;-2;2;-1;0;-2;-1;-3;0
-3;0;0;0;1;0;0;2;0
1;1;1;2;-1;-2;-1;0;0
-4;-1;-1;-2;-3;-3;-3;-5;0
-2;-1;-6;-7;-2;-1;-1;-2;0
1;-2;-4;-1;-2;-2;-2;3;0
6;6;4;2;0;0;-3;-19;0
1;-2;-2;2;-1;1;1;5;0
0;1;1;0;0;0;-2;0;0
0;0;-2;0;0;-3;1;3;0
0;0;-2;1;-1;-2;1;-3;0
-2;1;2;0;-1;-1;-1;-4;0
-1;-3;0;-1;1;-1;-1;0;0
3;-1;-4;-1;-1;-1;0;-3;0
-7;-6;-4;-2;-1;-1;-2;2;0
3;2;2;0;-3;-1;-2;0;0
-2;-3;-2;1;0;-1;-1;4;0
-3;-1;1;3;2;-1;-1;1;0
-1;-2;0;-2;-1;0;-1;3;0
